,user_id,product_id,ratings,timestamp,location,category
0,A29EARUZEUF2CP,B000WKY2MK,3.0,2011-11-13 00:48:30,Delhi,sport
1,AXBBYD4ZB1WBF,B006HXUXRY,3.0,2012-11-09 12:39:26,Delhi,dairy
2,A1VQUHXB0HGWP9,B001HX4BKE,5.0,2011-10-24 08:22:02,Pune,grocery
3,A6YT8ATZ4SEKT,B008P72KY4,4.0,2013-09-27 20:39:26,Patna,sport
4,AFRRNK98OYYP0,B00G9VD1BY,3.0,2014-06-08 17:10:25,Patna,grocery
5,AGBKGRC40C5JN,B00009R89T,3.0,2013-11-11 01:19:34,Bengaluru,beauty
6,A1N9ISPJDAKA42,B00139VKU6,4.0,2013-02-27 01:32:01,Pune,beauty
7,AV6C53NTYFYNI,B007SDKT2Q,3.0,2012-11-03 16:20:19,Hyderabad,stationary
8,A3PHESPFQ8RH51,B000HZGQ9C,4.0,2012-10-26 12:14:32,Mumbai,stationary
9,A3RSIACBM4XKD7,B00BIK06FU,5.0,2013-09-19 07:26:35,Bengaluru,stationary
10,A3FMVFB8YOTQ06,B005XXHN68,1.0,2012-02-24 10:16:49,Pune,medical
11,A272QZLRO3CW1,8918010656,4.0,2014-04-05 00:45:42,Patna,sport
12,A2T61AP5253X82,B000RHG09G,5.0,2009-03-23 18:30:46,Bengaluru,dairy
13,A3184M4ZYL963Q,B006R9JG3K,4.0,2013-03-18 10:18:46,Pune,stationary
14,A399UTAB48VR0O,B004GXKI04,5.0,2012-12-13 20:06:49,Kolkata,medical
15,A1MEH5207FID3R,B0031RGETU,2.0,2012-12-28 23:15:37,Delhi,grocery
16,A3BJJJY8YB79IW,B003XU76O2,2.0,2011-09-18 16:11:53,Patna,sport
17,A7665VY9TORS8,B0013M1IHI,5.0,2011-07-03 00:48:18,Roorkee,dairy
18,A1SDNJDP8KSE3Y,B0001YFX0C,3.0,2004-07-17 08:28:13,Patna,sport
19,ACLIASHDTEIZI,B001QK9I0Q,4.0,2014-04-29 05:22:11,Kolkata,medical
20,A14J4ZC2M6NE6O,B000OTF6G0,2.0,2013-05-01 11:26:25,Roorkee,sport
21,A3NH4B6E0K7DGK,B0002OQXZU,2.0,2005-06-09 15:11:09,Roorkee,beauty
22,AZU2JDR2GVICQ,B0080XEYLK,1.0,2013-07-04 14:45:08,Gangtok,grocery
23,A3BVT4AZR2BK31,B002MAPRYU,5.0,2012-10-16 22:08:20,Delhi,medical
24,A1I0UTDE5YH392,B009O7HB2U,2.0,2013-10-05 11:25:37,Roorkee,medical
25,A1UOBOXCU4ZHS7,B0009K9FZW,5.0,2012-02-16 20:15:52,Chennai,dairy
26,A220SY3SF0PS8C,B000069K98,5.0,2007-05-25 22:35:21,Gangtok,medical
27,A1GVZI6O2FUK5Y,B000MY38JE,5.0,2008-02-14 16:16:30,Patna,medical
